2023-08-10 01:53:27 install libdebconfclient0:riscv64 <none> 0.261ubuntu1
2023-08-10 01:53:27 status half-installed libdebconfclient0:riscv64 0.261ubuntu1
2023-08-10 01:53:27 status unpacked libdebconfclient0:riscv64 0.261ubuntu1
2023-08-10 01:53:27 install libext2fs2:riscv64 <none> 1.46.5-2ubuntu1
2023-08-10 01:53:27 status half-installed libext2fs2:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:27 status unpacked libext2fs2:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:28 install libgcc-s1:riscv64 <none> 12-20220319-1ubuntu1
2023-08-10 01:53:28 status half-installed libgcc-s1:riscv64 12-20220319-1ubuntu1
2023-08-10 01:53:28 status unpacked libgcc-s1:riscv64 12-20220319-1ubuntu1
2023-08-10 01:53:28 install libgcrypt20:riscv64 <none> 1.9.4-3ubuntu3
2023-08-10 01:53:28 status half-installed libgcrypt20:riscv64 1.9.4-3ubuntu3
2023-08-10 01:53:28 status unpacked libgcrypt20:riscv64 1.9.4-3ubuntu3
2023-08-10 01:53:28 install libgmp10:riscv64 <none> 2:6.2.1+dfsg-3ubuntu1
2023-08-10 01:53:28 status half-installed libgmp10:riscv64 2:6.2.1+dfsg-3ubuntu1
2023-08-10 01:53:28 status unpacked libgmp10:riscv64 2:6.2.1+dfsg-3ubuntu1
2023-08-10 01:53:28 install libgpg-error0:riscv64 <none> 1.43-3
2023-08-10 01:53:28 status half-installed libgpg-error0:riscv64 1.43-3
2023-08-10 01:53:28 status unpacked libgpg-error0:riscv64 1.43-3
2023-08-10 01:53:28 install libgssapi-krb5-2:riscv64 <none> 1.19.2-2
2023-08-10 01:53:28 status half-installed libgssapi-krb5-2:riscv64 1.19.2-2
2023-08-10 01:53:28 status unpacked libgssapi-krb5-2:riscv64 1.19.2-2
2023-08-10 01:53:28 install libk5crypto3:riscv64 <none> 1.19.2-2
2023-08-10 01:53:28 status half-installed libk5crypto3:riscv64 1.19.2-2
2023-08-10 01:53:28 status unpacked libk5crypto3:riscv64 1.19.2-2
2023-08-10 01:53:28 install libkeyutils1:riscv64 <none> 1.6.1-2ubuntu3
2023-08-10 01:53:28 status half-installed libkeyutils1:riscv64 1.6.1-2ubuntu3
2023-08-10 01:53:28 status unpacked libkeyutils1:riscv64 1.6.1-2ubuntu3
2023-08-10 01:53:28 install libkrb5-3:riscv64 <none> 1.19.2-2
2023-08-10 01:53:28 status half-installed libkrb5-3:riscv64 1.19.2-2
2023-08-10 01:53:29 status unpacked libkrb5-3:riscv64 1.19.2-2
2023-08-10 01:53:29 install libkrb5support0:riscv64 <none> 1.19.2-2
2023-08-10 01:53:29 status half-installed libkrb5support0:riscv64 1.19.2-2
2023-08-10 01:53:29 status unpacked libkrb5support0:riscv64 1.19.2-2
2023-08-10 01:53:29 install liblz4-1:riscv64 <none> 1.9.3-2build2
2023-08-10 01:53:29 status half-installed liblz4-1:riscv64 1.9.3-2build2
2023-08-10 01:53:29 status unpacked liblz4-1:riscv64 1.9.3-2build2
2023-08-10 01:53:29 install liblzma5:riscv64 <none> 5.2.5-2ubuntu1
2023-08-10 01:53:29 status half-installed liblzma5:riscv64 5.2.5-2ubuntu1
2023-08-10 01:53:29 status unpacked liblzma5:riscv64 5.2.5-2ubuntu1
2023-08-10 01:53:29 install libmount1:riscv64 <none> 2.37.2-4ubuntu3
2023-08-10 01:53:29 status half-installed libmount1:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:29 status unpacked libmount1:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:29 install libncurses6:riscv64 <none> 6.3-2
2023-08-10 01:53:29 status half-installed libncurses6:riscv64 6.3-2
2023-08-10 01:53:29 status unpacked libncurses6:riscv64 6.3-2
2023-08-10 01:53:29 install libncursesw6:riscv64 <none> 6.3-2
2023-08-10 01:53:29 status half-installed libncursesw6:riscv64 6.3-2
2023-08-10 01:53:29 status unpacked libncursesw6:riscv64 6.3-2
2023-08-10 01:53:29 install libnsl2:riscv64 <none> 1.3.0-2build2
2023-08-10 01:53:29 status half-installed libnsl2:riscv64 1.3.0-2build2
2023-08-10 01:53:30 status unpacked libnsl2:riscv64 1.3.0-2build2
2023-08-10 01:53:30 install libpam-modules:riscv64 <none> 1.4.0-11ubuntu2
2023-08-10 01:53:30 status half-installed libpam-modules:riscv64 1.4.0-11ubuntu2
2023-08-10 01:53:30 status unpacked libpam-modules:riscv64 1.4.0-11ubuntu2
2023-08-10 01:53:30 install libpam-modules-bin:riscv64 <none> 1.4.0-11ubuntu2
2023-08-10 01:53:30 status half-installed libpam-modules-bin:riscv64 1.4.0-11ubuntu2
2023-08-10 01:53:30 status unpacked libpam-modules-bin:riscv64 1.4.0-11ubuntu2
2023-08-10 01:53:30 install libpam-runtime:all <none> 1.4.0-11ubuntu2
2023-08-10 01:53:30 status half-installed libpam-runtime:all 1.4.0-11ubuntu2
2023-08-10 01:53:30 status unpacked libpam-runtime:all 1.4.0-11ubuntu2
2023-08-10 01:53:30 install libpam0g:riscv64 <none> 1.4.0-11ubuntu2
2023-08-10 01:53:30 status half-installed libpam0g:riscv64 1.4.0-11ubuntu2
2023-08-10 01:53:30 status unpacked libpam0g:riscv64 1.4.0-11ubuntu2
2023-08-10 01:53:31 install libpcre2-8-0:riscv64 <none> 10.39-3build1
2023-08-10 01:53:31 status half-installed libpcre2-8-0:riscv64 10.39-3build1
2023-08-10 01:53:31 status unpacked libpcre2-8-0:riscv64 10.39-3build1
2023-08-10 01:53:31 install libpcre3:riscv64 <none> 2:8.39-13build5
2023-08-10 01:53:31 status half-installed libpcre3:riscv64 2:8.39-13build5
2023-08-10 01:53:31 status unpacked libpcre3:riscv64 2:8.39-13build5
2023-08-10 01:53:31 install libprocps8:riscv64 <none> 2:3.3.17-6ubuntu2
2023-08-10 01:53:31 status half-installed libprocps8:riscv64 2:3.3.17-6ubuntu2
2023-08-10 01:53:31 status unpacked libprocps8:riscv64 2:3.3.17-6ubuntu2
2023-08-10 01:53:31 install libselinux1:riscv64 <none> 3.3-1build2
2023-08-10 01:53:31 status half-installed libselinux1:riscv64 3.3-1build2
2023-08-10 01:53:31 status unpacked libselinux1:riscv64 3.3-1build2
2023-08-10 01:53:31 install libsemanage-common:all <none> 3.3-1build2
2023-08-10 01:53:31 status half-installed libsemanage-common:all 3.3-1build2
2023-08-10 01:53:31 status unpacked libsemanage-common:all 3.3-1build2
2023-08-10 01:53:31 install libsemanage2:riscv64 <none> 3.3-1build2
2023-08-10 01:53:31 status half-installed libsemanage2:riscv64 3.3-1build2
2023-08-10 01:53:31 status unpacked libsemanage2:riscv64 3.3-1build2
2023-08-10 01:53:31 install libsepol2:riscv64 <none> 3.3-1build1
2023-08-10 01:53:31 status half-installed libsepol2:riscv64 3.3-1build1
2023-08-10 01:53:31 status unpacked libsepol2:riscv64 3.3-1build1
2023-08-10 01:53:31 install libsmartcols1:riscv64 <none> 2.37.2-4ubuntu3
2023-08-10 01:53:31 status half-installed libsmartcols1:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:32 status unpacked libsmartcols1:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:32 install libss2:riscv64 <none> 1.46.5-2ubuntu1
2023-08-10 01:53:32 status half-installed libss2:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:32 status unpacked libss2:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:32 install libssl3:riscv64 <none> 3.0.2-0ubuntu1
2023-08-10 01:53:32 status half-installed libssl3:riscv64 3.0.2-0ubuntu1
2023-08-10 01:53:32 status unpacked libssl3:riscv64 3.0.2-0ubuntu1
2023-08-10 01:53:32 install libsystemd0:riscv64 <none> 249.11-0ubuntu3
2023-08-10 01:53:32 status half-installed libsystemd0:riscv64 249.11-0ubuntu3
2023-08-10 01:53:32 status unpacked libsystemd0:riscv64 249.11-0ubuntu3
2023-08-10 01:53:32 install libtinfo6:riscv64 <none> 6.3-2
2023-08-10 01:53:32 status half-installed libtinfo6:riscv64 6.3-2
2023-08-10 01:53:32 status unpacked libtinfo6:riscv64 6.3-2
2023-08-10 01:53:32 install libtirpc-common:all <none> 1.3.2-2build1
2023-08-10 01:53:32 status half-installed libtirpc-common:all 1.3.2-2build1
2023-08-10 01:53:32 status unpacked libtirpc-common:all 1.3.2-2build1
2023-08-10 01:53:33 install libtirpc3:riscv64 <none> 1.3.2-2build1
2023-08-10 01:53:33 status half-installed libtirpc3:riscv64 1.3.2-2build1
2023-08-10 01:53:33 status unpacked libtirpc3:riscv64 1.3.2-2build1
2023-08-10 01:53:33 install libudev1:riscv64 <none> 249.11-0ubuntu3
2023-08-10 01:53:33 status half-installed libudev1:riscv64 249.11-0ubuntu3
2023-08-10 01:53:33 status unpacked libudev1:riscv64 249.11-0ubuntu3
2023-08-10 01:53:33 install libuuid1:riscv64 <none> 2.37.2-4ubuntu3
2023-08-10 01:53:33 status half-installed libuuid1:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:33 status unpacked libuuid1:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:33 install libzstd1:riscv64 <none> 1.4.8+dfsg-3build1
2023-08-10 01:53:33 status half-installed libzstd1:riscv64 1.4.8+dfsg-3build1
2023-08-10 01:53:33 status unpacked libzstd1:riscv64 1.4.8+dfsg-3build1
2023-08-10 01:53:33 install login:riscv64 <none> 1:4.8.1-2ubuntu2
2023-08-10 01:53:33 status half-installed login:riscv64 1:4.8.1-2ubuntu2
2023-08-10 01:53:33 status unpacked login:riscv64 1:4.8.1-2ubuntu2
2023-08-10 01:53:33 install logsave:riscv64 <none> 1.46.5-2ubuntu1
2023-08-10 01:53:33 status half-installed logsave:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:33 status unpacked logsave:riscv64 1.46.5-2ubuntu1
2023-08-10 01:53:33 install lsb-base:all <none> 11.1.0ubuntu4
2023-08-10 01:53:33 status half-installed lsb-base:all 11.1.0ubuntu4
2023-08-10 01:53:34 status unpacked lsb-base:all 11.1.0ubuntu4
2023-08-10 01:53:34 upgrade mawk:riscv64 1.3.4.20200120-3 1.3.4.20200120-3
2023-08-10 01:53:34 status half-configured mawk:riscv64 1.3.4.20200120-3
2023-08-10 01:53:34 status unpacked mawk:riscv64 1.3.4.20200120-3
2023-08-10 01:53:34 status half-installed mawk:riscv64 1.3.4.20200120-3
2023-08-10 01:53:34 status unpacked mawk:riscv64 1.3.4.20200120-3
2023-08-10 01:53:34 install mount:riscv64 <none> 2.37.2-4ubuntu3
2023-08-10 01:53:34 status half-installed mount:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:34 status unpacked mount:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:34 install ncurses-base:all <none> 6.3-2
2023-08-10 01:53:34 status half-installed ncurses-base:all 6.3-2
2023-08-10 01:53:34 status unpacked ncurses-base:all 6.3-2
2023-08-10 01:53:34 install ncurses-bin:riscv64 <none> 6.3-2
2023-08-10 01:53:34 status half-installed ncurses-bin:riscv64 6.3-2
2023-08-10 01:53:34 status unpacked ncurses-bin:riscv64 6.3-2
2023-08-10 01:53:34 install passwd:riscv64 <none> 1:4.8.1-2ubuntu2
2023-08-10 01:53:34 status half-installed passwd:riscv64 1:4.8.1-2ubuntu2
2023-08-10 01:53:35 status unpacked passwd:riscv64 1:4.8.1-2ubuntu2
2023-08-10 01:53:35 upgrade perl-base:riscv64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2023-08-10 01:53:35 status half-configured perl-base:riscv64 5.34.0-3ubuntu1
2023-08-10 01:53:35 status unpacked perl-base:riscv64 5.34.0-3ubuntu1
2023-08-10 01:53:35 status half-installed perl-base:riscv64 5.34.0-3ubuntu1
2023-08-10 01:53:35 status unpacked perl-base:riscv64 5.34.0-3ubuntu1
2023-08-10 01:53:35 install procps:riscv64 <none> 2:3.3.17-6ubuntu2
2023-08-10 01:53:35 status half-installed procps:riscv64 2:3.3.17-6ubuntu2
2023-08-10 01:53:36 status unpacked procps:riscv64 2:3.3.17-6ubuntu2
2023-08-10 01:53:36 install sed:riscv64 <none> 4.8-1ubuntu2
2023-08-10 01:53:36 status half-installed sed:riscv64 4.8-1ubuntu2
2023-08-10 01:53:36 status unpacked sed:riscv64 4.8-1ubuntu2
2023-08-10 01:53:36 install sensible-utils:all <none> 0.0.17
2023-08-10 01:53:36 status half-installed sensible-utils:all 0.0.17
2023-08-10 01:53:36 status unpacked sensible-utils:all 0.0.17
2023-08-10 01:53:36 install sysvinit-utils:riscv64 <none> 3.01-1ubuntu1
2023-08-10 01:53:36 status half-installed sysvinit-utils:riscv64 3.01-1ubuntu1
2023-08-10 01:53:36 status unpacked sysvinit-utils:riscv64 3.01-1ubuntu1
2023-08-10 01:53:36 install tar:riscv64 <none> 1.34+dfsg-1build3
2023-08-10 01:53:36 status half-installed tar:riscv64 1.34+dfsg-1build3
2023-08-10 01:53:36 status unpacked tar:riscv64 1.34+dfsg-1build3
2023-08-10 01:53:36 install usrmerge:all <none> 25ubuntu2
2023-08-10 01:53:36 status half-installed usrmerge:all 25ubuntu2
2023-08-10 01:53:36 status unpacked usrmerge:all 25ubuntu2
2023-08-10 01:53:36 install util-linux:riscv64 <none> 2.37.2-4ubuntu3
2023-08-10 01:53:36 status half-installed util-linux:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:37 status unpacked util-linux:riscv64 2.37.2-4ubuntu3
2023-08-10 01:53:37 install zlib1g:riscv64 <none> 1:1.2.11.dfsg-2ubuntu9
2023-08-10 01:53:37 status half-installed zlib1g:riscv64 1:1.2.11.dfsg-2ubuntu9
2023-08-10 01:53:37 status unpacked zlib1g:riscv64 1:1.2.11.dfsg-2ubuntu9
2023-08-10 01:53:37 startup packages configure
2023-08-10 01:53:37 configure lsb-base:all 11.1.0ubuntu4 <none>
2023-08-10 01:53:37 status unpacked lsb-base:all 11.1.0ubuntu4
2023-08-10 01:53:37 status half-configured lsb-base:all 11.1.0ubuntu4
2023-08-10 01:53:37 status installed lsb-base:all 11.1.0ubuntu4
2023-08-10 01:53:37 configure libtirpc-common:all 1.3.2-2build1 <none>
2023-08-10 01:53:37 status unpacked libtirpc-common:all 1.3.2-2build1
2023-08-10 01:53:37 status half-configured libtirpc-common:all 1.3.2-2build1
2023-08-10 01:53:37 status installed libtirpc-common:all 1.3.2-2build1
2023-08-10 01:53:37 configure libaudit-common:all 1:3.0.7-1build1 <none>
2023-08-10 01:53:37 status unpacked libaudit-common:all 1:3.0.7-1build1
2023-08-10 01:53:37 status half-configured libaudit-common:all 1:3.0.7-1build1
2023-08-10 01:53:37 status installed libaudit-common:all 1:3.0.7-1build1
2023-08-10 01:53:37 configure libsemanage-common:all 3.3-1build2 <none>
2023-08-10 01:53:37 status unpacked libsemanage-common:all 3.3-1build2
2023-08-10 01:53:37 status half-configured libsemanage-common:all 3.3-1build2
2023-08-10 01:53:37 status installed libsemanage-common:all 3.3-1build2
2023-08-10 01:53:37 configure gcc-12-base:riscv64 12-20220319-1ubuntu1 <none>
2023-08-10 01:53:37 status unpacked gcc-12-base:riscv64 12-20220319-1ubuntu1
2023-08-10 01:53:37 status half-configured gcc-12-base:riscv64 12-20220319-1ubuntu1
2023-08-10 01:53:37 status installed gcc-12-base:riscv64 12-20220319-1ubuntu1
2023-08-10 01:53:37 configure ncurses-base:all 6.3-2 <none>
2023-08-10 01:53:37 status unpacked ncurses-base:all 6.3-2
2023-08-10 01:53:37 status half-configured ncurses-base:all 6.3-2
2023-08-10 01:53:37 status installed ncurses-base:all 6.3-2
2023-08-10 01:53:37 configure sensible-utils:all 0.0.17 <none>
2023-08-10 01:53:37 status unpacked sensible-utils:all 0.0.17
2023-08-10 01:53:37 status half-configured sensible-utils:all 0.0.17
2023-08-10 01:53:37 status installed sensible-utils:all 0.0.17
2023-08-10 01:53:37 configure libcrypt1:riscv64 1:4.4.27-1 <none>
2023-08-10 01:53:37 status unpacked libcrypt1:riscv64 1:4.4.27-1
